Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
124.0,Dennis Schröder,31.0,BRK,PG,23.0,23.0,33.6,6.4,14.1,0.452,2.5,6.5,0.387,3.9,7.6,0.509,0.542,3.1,3.5,0.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,
125.0,Dennis Schröder,31.0,GSW,SG,24.0,18.0,26.2,3.9,10.5,0.375,1.5,4.8,0.322,2.4,5.7,0.419,0.448,1.2,1.6,0.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,
126.0,Dennis Schröder,31.0,DET,PG,3.0,0.0,16.3,1.7,6.3,0.263,1.0,2.7,0.375,0.7,3.7,0.182,0.342,1.3,1.3,1.0,0.0,1.3,1.3,3.7,0.3,0.0,1.0,1.0,5.7,
127.0,Dyson Daniels,21.0,ATL,SG,50.0,50.0,34.0,5.8,12.2,0.474,1.1,3.4,0.333,4.7,8.9,0.527,0.52,1.2,1.9,0.617,1.7,3.8,5.4,4.0,3.0,0.8,1.8,2.5,13.9,
128.0,Klay Thompson,34.0,DAL,SF,48.0,48.0,27.3,5.0,12.0,0.417,3.0,7.8,0.391,2.0,4.3,0.463,0.543,0.8,0.9,0.902,0.6,2.9,3.5,2.0,0.8,0.5,1.4,1.3,13.9,
129.0,Payton Pritchard,27.0,BOS,PG,54.0,0.0,27.9,4.9,10.4,0.468,3.1,7.7,0.411,1.7,2.7,0.628,0.619,0.9,1.1,0.836,1.4,2.5,3.9,3.5,0.9,0.2,1.0,1.6,13.8,
130.0,Bobby Portis,29.0,MIL,PF,46.0,7.0,25.2,5.6,12.1,0.463,1.3,3.6,0.364,4.3,8.5,0.505,0.517,1.2,1.5,0.821,1.8,6.5,8.3,2.2,0.7,0.5,1.2,1.9,13.7,
131.0,Amen Thompson,22.0,HOU,SF,52.0,25.0,31.9,5.3,9.7,0.543,0.3,1.3,0.254,4.9,8.4,0.587,0.559,2.8,4.0,0.707,2.7,5.4,8.1,3.4,1.4,1.3,2.2,2.3,13.7,
132.0,Jarrett Allen,26.0,CLE,C,54.0,54.0,28.9,5.5,7.9,0.7,0.0,0.1,0.0,5.5,7.9,0.705,0.7,2.5,3.4,0.753,2.7,7.7,10.3,2.1,0.9,1.0,1.2,1.5,13.6,
133.0,Dillon Brooks,29.0,HOU,SF,52.0,52.0,32.3,4.9,11.8,0.413,2.4,6.1,0.389,2.5,5.7,0.439,0.514,1.5,1.8,0.835,1.2,2.6,3.8,1.5,0.8,0.2,1.0,3.5,13.6,
134.0,Tobias Harris,32.0,DET,PF,53.0,53.0,31.9,5.2,11.2,0.461,1.2,3.8,0.325,3.9,7.5,0.529,0.515,1.9,2.2,0.872,0.9,5.0,5.9,2.2,0.9,0.8,1.1,1.8,13.5,
135.0,Rui Hachimura,26.0,LAL,PF,45.0,45.0,32.0,5.1,9.9,0.51,1.7,3.9,0.434,3.4,6.0,0.559,0.595,1.5,2.0,0.784,1.4,3.7,5.2,1.4,0.8,0.5,0.9,1.9,13.4,
136.0,D'Angelo Russell,28.0,2TM,PG,45.0,23.0,25.6,4.5,11.1,0.406,2.0,6.0,0.331,2.5,5.1,0.493,0.495,2.2,2.5,0.867,0.3,2.5,2.8,5.1,1.0,0.4,1.9,1.9,13.1,
137.0,D'Angelo Russell,28.0,LAL,PG,29.0,10.0,26.3,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,
138.0,D'Angelo Russell,28.0,BRK,PG,16.0,13.0,24.4,4.6,11.7,0.39,2.1,6.3,0.327,2.5,5.4,0.465,0.479,3.3,3.8,0.883,0.4,2.6,3.0,5.8,1.3,0.8,2.3,2.1,14.5,
139.0,Russell Westbrook,36.0,DEN,PG,48.0,27.0,27.7,4.9,10.3,0.477,1.1,3.5,0.331,3.8,6.8,0.55,0.532,2.0,3.2,0.641,1.4,3.7,5.1,6.4,1.5,0.5,3.0,2.5,13.0,
140.0,Stephon Castle,20.0,SAS,PG,51.0,29.0,25.5,4.6,11.0,0.42,1.1,3.9,0.289,3.5,7.1,0.49,0.471,2.5,3.5,0.734,0.8,2.0,2.8,3.5,0.9,0.3,1.9,1.7,12.9,
141.0,Moritz Wagner,27.0,ORL,C,30.0,1.0,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,
142.0,Santi Aldama,24.0,MEM,PF,46.0,11.0,24.5,5.0,10.1,0.494,1.8,4.7,0.386,3.2,5.4,0.586,0.583,1.1,1.5,0.721,1.6,5.0,6.7,2.6,0.8,0.5,1.1,1.0,12.8,
143.0,Malcolm Brogdon,32.0,WAS,PG,24.0,13.0,23.5,4.3,10.0,0.433,0.7,2.3,0.286,3.7,7.7,0.478,0.467,3.4,3.8,0.88,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,
144.0,Khris Middleton,33.0,MIL,SF,23.0,7.0,23.2,4.7,9.2,0.512,1.5,3.7,0.407,3.2,5.4,0.584,0.595,1.7,2.0,0.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6,
145.0,Ayo Dosunmu,25.0,CHI,SG,44.0,26.0,30.5,4.9,9.8,0.495,1.4,4.1,0.335,3.5,5.7,0.612,0.566,1.4,1.8,0.792,0.6,2.8,3.4,4.6,0.9,0.4,1.5,2.3,12.5,
146.0,Bilal Coulibaly,20.0,WAS,SF,50.0,50.0,33.4,4.4,10.7,0.417,1.1,3.9,0.282,3.3,6.8,0.494,0.468,2.4,3.2,0.752,1.5,3.6,5.1,3.5,1.3,0.7,2.1,2.4,12.4,
147.0,Scoot Henderson,20.0,POR,PG,47.0,9.0,26.5,4.2,9.8,0.434,1.5,4.0,0.365,2.8,5.7,0.481,0.509,2.5,3.1,0.789,0.7,2.3,3.0,5.3,1.1,0.3,2.6,2.6,12.4,
148.0,Terry Rozier,30.0,MIA,PG,47.0,21.0,28.5,4.6,11.2,0.407,1.6,5.3,0.306,2.9,5.9,0.496,0.479,1.6,1.9,0.856,0.8,3.3,4.1,2.9,0.6,0.3,1.4,1.4,12.4,
149.0,Daniel Gafford,26.0,DAL,C,51.0,28.0,21.9,5.0,7.1,0.699,0.0,0.0,,5.0,7.1,0.699,0.699,2.4,3.4,0.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7,12.3,
150.0,Josh Giddey,22.0,CHI,PG,51.0,51.0,28.7,4.6,10.2,0.446,1.3,3.9,0.345,3.2,6.4,0.508,0.511,1.7,2.2,0.754,1.6,5.5,7.1,6.4,1.1,0.6,2.7,1.7,12.2,
151.0,Aaron Gordon,29.0,DEN,PF,32.0,23.0,26.5,4.2,8.4,0.502,1.1,2.7,0.414,3.1,5.7,0.544,0.569,2.6,3.2,0.796,1.5,3.3,4.8,3.2,0.5,0.3,1.3,1.5,12.1,
152.0,Brook Lopez,36.0,MIL,C,52.0,52.0,31.8,4.6,9.6,0.475,1.8,5.0,0.368,2.7,4.6,0.592,0.571,1.2,1.4,0.822,1.2,3.6,4.7,1.7,0.7,1.9,1.0,2.2,12.1,
153.0,Onyeka Okongwu,24.0,ATL,C,48.0,14.0,25.5,4.8,8.4,0.573,0.4,1.6,0.273,4.4,6.8,0.643,0.599,2.0,2.8,0.731,2.8,5.2,8.0,2.1,0.9,0.9,1.0,2.4,12.1,
154.0,Keegan Murray,24.0,SAC,PF,52.0,52.0,35.0,4.7,10.7,0.435,1.8,5.6,0.322,2.8,5.1,0.561,0.52,0.9,1.1,0.821,2.1,5.0,7.1,1.5,0.8,0.9,0.9,2.6,12.0,
155.0,Daeqwon Plowden,26.0,ATL,SG,2.0,0.0,16.5,4.0,5.0,0.8,3.0,4.0,0.75,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5,12.0,
156.0,Harrison Barnes,32.0,SAS,PF,52.0,52.0,28.0,4.1,8.1,0.502,1.6,3.9,0.418,2.5,4.3,0.579,0.602,2.1,2.6,0.807,1.5,2.7,4.2,1.8,0.4,0.2,0.6,1.0,11.9,
157.0,Jabari Smith Jr.,21.0,HOU,PF,33.0,33.0,30.9,4.1,9.5,0.435,1.7,4.8,0.354,2.4,4.7,0.516,0.524,2.0,2.3,0.867,1.8,4.7,6.5,1.0,0.4,1.0,0.9,2.3,11.9,
158.0,Corey Kispert,25.0,WAS,SF,49.0,0.0,26.8,4.3,9.5,0.457,2.0,5.5,0.363,2.3,4.0,0.588,0.563,1.1,1.3,0.871,0.7,2.4,3.1,1.6,0.5,0.2,1.1,1.6,11.8,
159.0,Dante Exum,29.0,DAL,PG,7.0,5.0,19.7,4.4,7.9,0.564,1.1,2.4,0.471,3.3,5.4,0.605,0.636,1.7,2.7,0.632,0.3,1.4,1.7,3.7,0.7,0.1,1.0,1.6,11.7,
160.0,Jeremy Sochan,21.0,SAS,PF,33.0,19.0,26.1,4.7,8.7,0.545,0.5,1.4,0.34,4.2,7.2,0.586,0.573,1.7,2.4,0.722,2.5,4.7,7.2,2.5,0.9,0.5,1.7,2.4,11.7,
161.0,Tari Eason,23.0,HOU,PF,36.0,4.0,24.2,4.5,9.3,0.483,1.0,2.9,0.349,3.4,6.3,0.546,0.539,1.5,2.1,0.743,2.2,4.1,6.3,1.2,1.9,0.9,0.9,2.4,11.5,
